"","date","cname","iso3","cases","deaths","pop_2018","cu_cases","cu_deaths","days_elapsed","end_label"
"1",2020-03-14,"Trinidad and Tobago","TTO",1,NA,1389858,2,NA,NA,NA
"2",2020-03-15,"Trinidad and Tobago","TTO",NA,NA,1389858,2,NA,1,NA
"3",2020-03-16,"Trinidad and Tobago","TTO",2,NA,1389858,4,NA,2,NA
"4",2020-03-17,"Trinidad and Tobago","TTO",1,NA,1389858,5,NA,3,NA
"5",2020-03-18,"Trinidad and Tobago","TTO",2,NA,1389858,7,NA,4,NA
"6",2020-03-19,"Trinidad and Tobago","TTO",2,NA,1389858,9,NA,5,NA
"7",2020-03-20,"Trinidad and Tobago","TTO",NA,NA,1389858,9,NA,6,NA
"8",2020-03-21,"Trinidad and Tobago","TTO",NA,NA,1389858,9,NA,7,NA
"9",2020-03-22,"Trinidad and Tobago","TTO",40,NA,1389858,49,NA,8,NA
"10",2020-03-23,"Trinidad and Tobago","TTO",1,NA,1389858,50,NA,9,NA
"11",2020-03-24,"Trinidad and Tobago","TTO",1,NA,1389858,51,NA,10,NA
"12",2020-03-25,"Trinidad and Tobago","TTO",6,NA,1389858,57,NA,11,NA
"13",2020-03-26,"Trinidad and Tobago","TTO",3,1,1389858,60,1,12,NA
"14",2020-03-27,"Trinidad and Tobago","TTO",5,NA,1389858,65,1,13,NA
"15",2020-03-28,"Trinidad and Tobago","TTO",1,1,1389858,66,2,14,NA
"16",2020-03-29,"Trinidad and Tobago","TTO",8,NA,1389858,74,2,15,NA
"17",2020-03-30,"Trinidad and Tobago","TTO",4,1,1389858,78,3,16,NA
"18",2020-03-31,"Trinidad and Tobago","TTO",7,NA,1389858,85,3,17,NA
"19",2020-04-01,"Trinidad and Tobago","TTO",2,NA,1389858,87,3,18,NA
"20",2020-04-02,"Trinidad and Tobago","TTO",2,2,1389858,89,5,19,NA
"21",2020-04-03,"Trinidad and Tobago","TTO",8,1,1389858,97,6,20,NA
"22",2020-04-04,"Trinidad and Tobago","TTO",3,NA,1389858,100,6,21,NA
"23",2020-04-05,"Trinidad and Tobago","TTO",3,NA,1389858,103,6,22,NA
"24",2020-04-06,"Trinidad and Tobago","TTO",1,1,1389858,104,7,23,NA
"25",2020-04-07,"Trinidad and Tobago","TTO",1,1,1389858,105,8,24,NA
"26",2020-04-08,"Trinidad and Tobago","TTO",2,NA,1389858,107,8,25,NA
"27",2020-04-09,"Trinidad and Tobago","TTO",NA,NA,1389858,107,8,26,NA
